"","Agrimonia_eupatoria","Agrimonia_procera","Alchemilla_acutiformis","Alchemilla_albinervia","Alchemilla_alpigena","Alchemilla_alpina","Alchemilla_amphisericea","Alchemilla_angustata","Alchemilla_angustiserrata","Alchemilla_aranica","Alchemilla_arvensis","Alchemilla_atriuscula","Alchemilla_atropurpurea","Alchemilla_australis","Alchemilla_benasquensis","Alchemilla_borderei","Alchemilla_burgensis","Alchemilla_cadinensis","Alchemilla_catalaunica","Alchemilla_cataractarum","Alchemilla_colorata","Alchemilla_connivens","Alchemilla_coriacea","Alchemilla_cornucopioides","Alchemilla_crenulata","Alchemilla_demissa","Alchemilla_diluta","Alchemilla_effusa","Alchemilla_espotensis","Alchemilla_fagetii","Alchemilla_fallax","Alchemilla_filicaulis","Alchemilla_fissa","Alchemilla_flabellata","Alchemilla_floribunda","Alchemilla_fontqueri","Alchemilla_frost-olsenii","Alchemilla_fulgens","Alchemilla_fulgida","Alchemilla_glabra","Alchemilla_glaucescens","Alchemilla_glomerulans","Alchemilla_hispanica","Alchemilla_hoppeaniformis","Alchemilla_hybrida","Alchemilla_hypercycla","Alchemilla_ilerdensis","Alchemilla_impedicellata","Alchemilla_inconcinna","Alchemilla_iniquiformis","Alchemilla_iratiana","Alchemilla_ischnocarpa","Alchemilla_lainzii","Alchemilla_legionensis","Alchemilla_lucida","Alchemilla_lunaria","Alchemilla_macrochira","Alchemilla_melanoscytos","Alchemilla_microcarpa","Alchemilla_microcephala","Alchemilla_montserratii","Alchemilla_mystrostigma","Alchemilla_nafarroana","Alchemilla_nietofelineri","Alchemilla_nudans","Alchemilla_oscensis","Alchemilla_ozana","Alchemilla_pallens","Alchemilla_paupercula","Alchemilla_pentaphyllea","Alchemilla_perspicua","Alchemilla_polatschekiana","Alchemilla_polita","Alchemilla_polychroma","Alchemilla_pusilla","Alchemilla_rubristipula","Alchemilla_rugulosa","Alchemilla_santanderiensis","Alchemilla_saxatilis","Alchemilla_serratisaxatilis","Alchemilla_sierrae","Alchemilla_spathulata","Alchemilla_spectabilior","Alchemilla_straminea","Alchemilla_subalpina","Alchemilla_tenerifolia","Alchemilla_tenerrima","Alchemilla_tenuis","Alchemilla_transiens","Alchemilla_vetteri","Alchemilla_villarii","Alchemilla_vizcayensis","Alchemilla_xanthochlora","Amelanchier_ovalis","Aruncus_dioicus","Cotoneaster_granatensis","Cotoneaster_integerrimus","Cotoneaster_majoricensis","Cotoneaster_tomentosus","Crataegus_granatensis","Crataegus_laciniata","Crataegus_laevigata","Crataegus_monogyna","Dryas_octopetala","Filipendula_ulmaria","Filipendula_vulgaris","Fragaria_vesca","Fragaria_viridis","Geum_heterocarpum","Geum_hispidum","Geum_montanum","Geum_pyrenaicum","Geum_rivale","Geum_sylvaticum","Geum_urbanum","Malus_sylvestris","Potentilla_alchimilloides","Potentilla_argentea","Potentilla_asturica","Potentilla_aurea","Potentilla_brauneana","Potentilla_caulescens","Potentilla_cinerea","Potentilla_crantzii","Potentilla_erecta","Potentilla_frigida","Potentilla_grandiflora","Potentilla_hirta","Potentilla_hispanica","Potentilla_inclinata","Potentilla_micrantha","Potentilla_montana","Potentilla_nevadensis","Potentilla_nivalis","Potentilla_pensylvanica","Potentilla_pusilla","Potentilla_pyrenaica","Potentilla_recta","Potentilla_reptans","Potentilla_reuteri","Potentilla_sterilis","Potentilla_supina","Prunus_avium","Prunus_insititia","Prunus_lusitanica","Prunus_mahaleb","Prunus_padus","Prunus_prostrata","Prunus_ramburii","Prunus_spinosa","Pyrus_bourgaeana","Pyrus_cordata","Pyrus_spinosa","Rosa_agrestis","Rosa_arvensis","Rosa_canina","Rosa_glauca","Rosa_inodora","Rosa_micrantha","Rosa_pendulina","Rosa_pouzinii","Rosa_pulverulenta","Rosa_rubiginosa","Rosa_sempervirens","Rosa_spinosissima","Rosa_stylosa","Rosa_tomentosa","Rosa_villosa","Rubus_aetnicus","Rubus_brigantinus","Rubus_caesius","Rubus_castellarnaui","Rubus_castroviejoi","Rubus_cyclops","Rubus_galloecicus","Rubus_henriquesii","Rubus_hirtus","Rubus_idaeus","Rubus_lainzii","Rubus_lucensis","Rubus_muricola","Rubus_pauanus","Rubus_peratticus","Rubus_praecox","Rubus_radula","Rubus_sampaioanus","Rubus_saxatilis","Rubus_ulmifolius","Rubus_urbionicus","Rubus_vagabundus","Rubus_vestitus","Rubus_vigoi","Sanguisorba_ancistroides","Sanguisorba_hybrida","Sanguisorba_lateriflora","Sanguisorba_minor","Sanguisorba_officinalis","Sanguisorba_rupicola","Sibbaldia_procumbens","Sorbus_aucuparia","Spiraea_crenata","Spiraea_hypericifolia"
"29SMC58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29SMC69",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"29SMC78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29SMC79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC85",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC86",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29SMC88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
